,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
283,16.066864573622944,-5.656257393360471,16.066864573622944,0.3677892043563187,0.11025579179174476,672.7860000000015,632.466,672.3060183800011,256,0,0.2930920704964871,-0.5079666451760154,0.5079666451760154,0.2930920704964871,1.12,1.9,2.68,10.812628457363344,-0.185905647801048,3.3751466822000245e-16,-2.586570417847523,0.08874897961942618,-2.8330300632503596,1.874910325593344,-0.998502686667797,1.868989116466701,3966.86210598102,69.99171647201308,64.22452302531906,24.224523025319062,40.572614493287276,32.76903896037299,13.230295501409426,9.18719558261567,9.18719558261567,6.095781559679539,6.095781559679539,3.91122425066577,3.91122425066577,-5.939999999999999,1.4766907202823845e+23,10.29976135407116,14.669795056991783,7.2262088807412335,345.5683268206704,37.044781850216246,20.608980926639592,7.059210391641003,23.628718917406022,1.4311996572326342,0.0,19.178148736287287,0.0,0.0,0.0,79.04006345396141,64.7088337309986,49.22629482031264,42.192473172444146,78.03412527313895,45.304092278416675,1.4311996572326342,20.49653970765648,11.439433951452546,49.563269478716094,6.496859684315945,125.60367379292634,0.0,5.749511833283905,22.059060658029296,0.0,5.749511833283905,0.0,64.59617685619047,31.923998538946044,0.0,79.31837054354645,108.91331931783537,9.882894548297404,21.67537336101065,0.0,183.64,259.67637745653883,14.472014121579322,14.383611552215466,4.977003270229252,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,45.500891065469595,348.10979043239627,0.0,59.254079448941056,-3.5826457212643117,-12.174076895464726,-14.119238529551842,-43.7530450312548,-21.70377147096157,-7.281092232840035,0.0,0.23076923076923078,50,8,11,0,1,1,4,1,5,6,6,11,14,0,1,1,6,3.514000000000004,191.62069999999966,0,0,0,0,0,1,1,1,0,0,4,4,0,0,0,1,3,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
284,15.99057719370822,-5.644390280111233,15.99057719370822,0.3662823255467429,0.11025579179174476,672.7860000000015,632.466,672.3060183800011,256,0,0.2930920704964871,-0.5079666451760154,0.5079666451760154,0.2930920704964871,1.14,1.94,2.72,10.813668715042729,-0.18590569504233811,1.9905566376713255e-16,-2.5866728404974193,0.04871839096927348,-2.833066722786963,1.87491037272031,-0.9985027036283745,1.8528149918392183,3975.11210598102,69.99171647201308,64.22452302531906,24.224523025319062,40.572614493287276,32.76903896037299,13.230295501409426,9.18719558261567,9.18719558261567,6.033281559679539,6.033281559679539,3.8207734009470227,3.8207734009470227,-5.939999999999999,2.3865077642076594e+22,10.29976135407116,14.669795056991783,7.374343792728017,345.5683268206704,37.044781850216246,20.608980926639592,7.059210391641003,23.628718917406022,1.4311996572326342,0.0,19.178148736287287,0.0,0.0,0.0,72.9976447462981,70.75125243866191,49.22629482031264,42.192473172444146,78.03412527313895,45.304092278416675,1.4311996572326342,20.49653970765648,11.439433951452546,49.563269478716094,6.496859684315945,125.60367379292634,0.0,5.749511833283905,22.059060658029296,0.0,5.749511833283905,0.0,64.59617685619047,31.923998538946044,0.0,79.31837054354645,108.91331931783537,9.882894548297404,21.67537336101065,0.0,183.64,259.67637745653883,15.842772677749542,14.383611552215466,4.977003270229252,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,44.13013250929937,347.58705098668304,0.0,59.057788241234306,-3.1608339147472067,-12.217138210239511,-14.100681423525323,-43.46745433793301,-21.677233980845756,-7.271497360626639,0.0,0.23076923076923078,50,8,11,0,1,1,4,1,5,6,6,11,14,0,1,1,6,3.514000000000004,191.62069999999966,0,0,0,0,0,1,1,1,0,0,4,4,0,0,0,1,3,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
285,15.351693485423242,-5.3212773860749545,15.351693485423242,1.2610186230567113,0.20410988548926337,583.6890000000018,546.3930000000004,583.279469284001,224,0,0.2930920704964871,-0.5079666451760154,0.5079666451760154,0.2930920704964871,1.1162790697674418,1.813953488372093,2.4651162790697674,10.495970461375208,-0.18590438676532411,1.487093678410005e-17,-2.573414403159095,2.256519026562342e-16,-2.811610226724317,1.1973647869506476,-0.9984784591993251,2.2716861459167905,3085.555004215228,62.95026458768571,57.77730942981911,20.77730942981911,35.84056368571843,29.12461176937307,11.033081905909468,7.364981987115714,7.364981987115714,4.586067964179581,4.586067964179581,2.776162354603305,2.776162354603305,-4.959999999999999,5531102737969821.0,8.569351216542866,14.281891687141783,8.076320074922371,302.7228692034438,32.06777857998699,20.608980926639592,5.6473683133128025,23.628718917406022,1.4311996572326342,0.0,19.178148736287287,0.0,0.0,0.0,79.04006345396141,47.89396659440572,32.15047467741679,39.4509560601037,73.88076608247032,23.628718917406022,1.4311996572326342,15.519536437427229,11.439433951452546,49.563269478716094,6.496859684315945,113.38835987444827,0.0,5.749511833283905,22.059060658029296,0.0,5.749511833283905,0.0,59.61917358596122,31.923998538946044,0.0,76.57685343120602,96.6980053993573,8.471052469969203,0.0,0.0,167.85,225.78569017705013,13.742433558812284,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,46.87164962163982,313.090681234999,0.0,57.66396466138643,0.994880144487786,-11.19334599253261,-13.69595797027841,-42.773291450198265,-18.935796000274586,-7.401134627589396,0.0,0.2727272727272727,43,7,10,0,1,1,3,0,3,6,5,10,14,0,1,1,4,1.879500000000002,162.2579999999997,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,15.696944358623368,-5.576027145397089,15.696944358623368,0.35113034891125006,0.1318271117363126,622.7260000000016,584.4220000000001,622.290368316001,238,0,0.2930920704964871,-0.5079666451760154,0.5079666451760154,0.2930920704964871,1.1956521739130435,1.9782608695652173,2.717391304347826,10.753432996513498,-0.18590481589479146,2.625902569663108e-16,-2.586720364381572,0.04243420145866225,-2.833074575400701,1.5247446920898475,-0.9985025689381786,2.0580535285581076,3476.89737216848,65.68231539525458,60.22452302531906,22.224523025319062,37.75124728824137,30.519038960372992,11.980295501409426,8.18719558261567,8.18719558261567,5.283281559679539,5.283281559679539,3.2895234009470227,3.2895234009470227,-5.419999999999999,9.550709723624094e+18,9.322102317715528,14.125510591773356,7.268429994043299,320.0767212885996,37.044781850216246,20.608980926639592,7.059210391641003,23.628718917406022,1.4311996572326342,0.0,19.178148736287287,0.0,0.0,0.0,66.9552260386348,53.93638530206901,49.22629482031264,39.4509560601037,75.29260816079852,34.53164384948708,1.4311996572326342,20.49653970765648,11.439433951452546,49.563269478716094,6.496859684315945,113.51883637759974,0.0,5.749511833283905,22.059060658029296,0.0,5.749511833283905,0.0,64.59617685619047,31.923998538946044,0.0,76.57685343120602,96.82848190250877,9.882894548297404,10.902924932081056,0.0,183.64,236.81909161228265,14.472014121579322,14.383611552215466,4.977003270229252,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,42.75937395312915,326.1262615279876,0.0,58.22598037611812,-0.6960275267627347,-12.011782410406452,-13.93707609922924,-40.94542923536436,-21.48906804506879,-7.189525253940943,0.0,0.2571428571428571,46,8,11,0,1,1,3,1,4,6,6,11,14,0,1,1,5,2.360800000000002,174.1146999999997,0,0,0,0,0,1,1,1,0,0,4,4,0,0,0,1,3,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
287,15.428073771967808,-5.320026227742059,15.428073771967808,1.0648975161645016,0.20177079560168393,595.7000000000018,558.4040000000003,595.279469284001,228,0,0.2930920704964871,-0.5079666451760154,0.5079666451760154,0.2930920704964871,1.0681818181818181,1.7045454545454546,2.272727272727273,10.538554110111862,-0.18590426878458902,-1.1628577539666906e-18,-2.571751264033227,3.617226349578984e-16,-2.8102146102406946,1.321766967782888,-0.9984783341710552,2.3202943831550344,3170.3028055959085,63.604965126064954,58.277309429819105,21.277309429819105,36.411930890764346,29.374611769373075,11.283081905909468,7.614981987115716,7.614981987115716,4.8275622517787795,4.8275622517787795,2.9225149037595473,2.9225149037595473,-5.219999999999999,9600111700122000.0,8.918663101766267,14.301236280547354,7.586831600026838,308.3982082856564,32.06777857998699,14.591088458289953,5.6473683133128025,23.628718917406022,1.4311996572326342,0.0,19.178148736287287,0.0,0.0,0.0,85.57110241596328,47.89396659440571,28.609137193816238,48.21036564079381,73.88076608247033,23.628718917406022,1.4311996572326342,15.519536437427229,11.439433951452546,43.19034457738672,6.496859684315945,125.49250336651943,0.0,5.749511833283905,22.059060658029296,0.0,5.749511833283905,0.0,53.60128111761158,25.551073637616668,0.0,82.59474589955563,108.80214889142843,8.471052469969203,0.0,0.0,167.85,231.5169087677919,10.318654930910682,14.383611552215466,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,45.5008910654696,313.87836260423177,0.0,57.74385562744338,1.2131741463023715,-13.185258281482923,-13.235457276598398,-42.70368448855852,-14.346858019799548,-9.530800978204685,0.0,0.23529411764705882,44,7,10,0,1,1,3,0,3,6,5,10,14,0,1,1,4,2.565700000000003,166.64699999999965,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,1,2,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288,14.805034924337722,-5.343999041165802,14.805034924337722,0.8987070642265984,0.5405848736178558,505.05799999999977,471.7940000000004,504.2179705960009,188,0,0.29329392432963425,-0.5042464367441845,0.5042464367441845,0.29329392432963425,1.3611111111111112,2.2222222222222223,3.0277777777777777,10.23735893347273,-0.17976370715180814,-3.509082180200177e-17,-2.9183328509834685,1.332454875269394e-17,-3.0482642644719555,0.6746863697602973,-1.0316475397790268,1.8023390199791438,2699.3223385153915,53.729168138596734,50.49713653540073,18.25306548141919,30.525444662264523,26.478974692146057,10.50147727919146,7.699181676548178,8.077146149557406,5.772430782705255,5.961413019209869,4.275786931266827,4.370278049519134,-2.34,57456305856179.65,6.800732386375645,8.337910333141156,3.2523289016360426,263.5297131432128,15.155484498195637,1.4118420783282006,23.36228663988274,0.0,1.4311996572326342,0.0,9.694446914922299,0.0,0.0,0.0,41.83233950529353,79.88252588403918,71.66623503187745,17.751817474928757,58.54556564858416,17.384184836597456,1.4311996572326342,10.209723084138854,5.893957685363079,67.66230052638541,19.490579052947837,70.07164352688322,0.0,11.49902366656781,10.046676307088426,0.0,11.49902366656781,11.600939890232516,54.35057732618607,22.955377456127362,5.893957685363079,91.04849422301466,48.3586557380509,6.434475392069527,0.0,0.0,61.8,190.61047248865123,25.396999048783098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,41.07189795615895,303.78861108984376,5.839086212228089,13.611343870965637,2.203566310785818,-15.251703176236408,-10.12605263213603,-18.12813571118203,-36.31108367884229,-14.764521174315476,0.0,0.5,36,2,5,3,2,5,2,0,2,5,2,6,8,2,1,3,7,4.575000000000005,139.87749999999988,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,14.861380731950891,-5.555457374499135,14.861380731950891,0.9987401330096672,0.5035531965313595,507.0739999999997,471.7940000000004,506.23362066000095,190,0,0.29329392432963425,-0.5042464367441903,0.5042464367441903,0.29329392432963425,1.3055555555555556,2.1666666666666665,2.9722222222222223,9.527645057632476,-0.1891107932416148,-8.357579622813881e-17,-2.9221791276542866,2.0487684659436152e-17,-3.0512914349584874,8.81620094733182e-16,-1.072547519471643,1.7921220924440815,2719.3230829966483,55.57446760021749,52.49713653540073,18.25306548141919,31.21006052136231,27.478974692146057,10.50147727919146,7.699181676548178,8.077146149557406,5.772430782705255,5.961413019209869,4.275786931266827,4.370278049519134,-2.08,108900185497324.08,6.549074928544532,8.472433407198478,3.3168322921311275,267.0292571757327,15.155484498195637,1.4118420783282006,23.36228663988274,0.0,1.4311996572326342,0.0,9.694446914922299,0.0,0.0,0.0,29.7281960132224,99.12523537101389,70.6524095722424,15.010300362588318,61.287082760924605,17.384184836597456,1.4311996572326342,10.209723084138854,5.893957685363079,80.40815032904416,19.490579052947837,57.967500034812076,0.0,11.49902366656781,10.046676307088426,0.0,11.49902366656781,11.600939890232516,54.35057732618607,22.955377456127362,5.893957685363079,106.53586113801377,36.25451224597977,6.434475392069527,0.0,0.0,61.8,191.25217879923883,25.396999048783098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,43.813415068499395,322.85491582931525,5.829237204466549,13.579667664217506,1.8502852103393126,-16.063201598907945,-10.417469183324407,-14.463456098800398,-47.697348914970675,-15.44485233455735,0.0,0.5666666666666667,36,2,5,3,2,5,2,0,2,5,2,6,9,2,1,3,7,4.799000000000005,139.97149999999988,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,15.36194441924773,-5.496487924645171,15.36194441924773,1.0058959751796432,0.5912725539057702,521.0570000000002,487.79300000000035,520.2128852160009,194,0,0.22034565423801938,-0.4928571243261883,0.4928571243261883,0.22034565423801938,1.3783783783783783,2.2162162162162162,3.0,10.419606201314995,-0.24352680038395216,3.616401651749093e-17,-2.909589870551771,6.038650789513632e-17,-3.0423629722536876,0.6414490551680677,-1.0275930854516635,1.8176700666081622,2716.045860850045,54.65181786940711,50.905384825864594,18.66131377188305,30.767190733291997,26.728974692146057,10.659725569655325,7.869592914697636,8.247557387706863,5.908667438087971,6.097649674592583,4.410382138750284,4.504873257002591,-2.5699999999999994,67391387914270.73,7.136129448283313,8.46942665211899,3.4085539193107874,268.6134794946245,14.783539260888475,0.0,24.774128718210935,5.907179729351506,0.0,0.0,14.488984098994122,0.0,0.0,0.0,29.7281960132224,79.88252588403918,66.00337499650757,31.69945374236491,64.33891615151904,23.29136456594896,0.0,10.209723084138854,5.893957685363079,74.03522542771479,20.03167182751448,57.967500034812076,0.0,11.49902366656781,14.783539260888475,0.0,11.49902366656781,11.600939890232516,54.25884198176438,27.749914640199183,5.893957685363079,98.79217768051421,36.25451224597977,6.434475392069527,0.0,0.0,67.86999999999999,191.3275264018276,22.655481936442662,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.48983692123705,306.09682164593426,5.838603247705699,28.97414400082802,-2.5034569730870375,-16.109940415762274,-13.86554676112197,-14.656093313430809,-42.437033194574724,-10.029802681334136,-3.863251110712687,0.5333333333333333,37,1,6,3,2,5,2,0,2,5,1,7,8,2,1,3,7,4.238500000000004,140.38169999999988,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,15.364637883702859,-5.492378670795431,15.364637883702859,0.98878964432654,0.5680369422701584,521.0570000000002,487.79300000000035,520.2128852160008,194,0,0.29329392433993096,-0.5042464348250139,0.5042464348250139,0.29329392433993096,1.3513513513513513,2.189189189189189,2.972972972972973,10.416310261096255,-0.18572688640079654,5.2578229691445766e-17,-2.9097477660268027,6.473063538615074e-17,-3.0422985179037894,0.6747827749313241,-1.0282991999565647,1.7683597337249954,2721.555635854372,54.65181786940711,50.905384825864594,18.66131377188305,30.870744123885274,26.683098837377987,10.705601424423394,7.892530842081671,8.270495315090898,5.869105365472006,6.058087601976619,4.3697677691089645,4.464258887361271,-2.5699999999999994,79524442488943.19,7.136129448283313,8.46942665211899,3.4788822830917563,268.3808382754409,15.155484498195637,0.0,24.774128718210935,5.907179729351506,1.4311996572326342,0.0,14.488984098994122,0.0,0.0,0.0,29.7281960132224,86.25545078536857,68.74489210884799,20.54922561497166,63.34010283265599,23.29136456594896,1.4311996572326342,10.209723084138854,5.893957685363079,80.40815032904416,12.99371936863189,57.967500034812076,0.0,11.49902366656781,10.046676307088426,0.0,11.49902366656781,11.600939890232516,53.76089737122163,27.749914640199183,5.893957685363079,103.79434402567334,36.25451224597977,6.434475392069527,0.0,0.0,78.87,190.66249884427438,22.65548193644266,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,43.813415068499395,302.05867719342876,5.812982060433626,28.884413257670932,1.8544968872940437,-15.899787010850503,-13.630690034679345,-14.341283860306234,-47.29810894583487,-9.996255102711931,0.0,0.5333333333333333,37,2,6,3,2,5,2,0,2,5,2,7,8,2,1,3,7,4.325600000000004,140.1114999999999,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,14.770071694862912,-5.335748828595228,14.770071694862912,0.9937046710523771,0.6563142952239364,479.01999999999975,447.77200000000033,478.20232053200084,178,0,0.29329392432963425,-0.5042464367441903,0.5042464367441903,0.29329392432963425,1.3529411764705883,2.2058823529411766,3.0,10.244675654009207,-0.17999105751593855,2.131636767851044e-17,-2.9207082007876632,1.0513207160758862e-16,-3.0518584742848187,0.6747028362014282,-1.0355699130139637,1.858683136515298,2506.7522553842055,50.57446760021749,47.49713653540073,17.25306548141919,28.71006052136231,24.978974692146057,10.00147727919146,7.449181676548179,7.8271461495574055,5.647430782705255,5.836413019209869,4.209987780985574,4.304478899237881,-2.08,9841608330898.766,6.424677254138051,7.458351967145055,2.8368867483726046,248.67949094626806,15.155484498195637,1.4118420783282006,23.36228663988274,0.0,1.4311996572326342,0.0,9.694446914922299,0.0,0.0,0.0,29.7281960132224,86.37938556835512,65.16937534756154,15.010300362588318,55.80404853624371,17.384184836597456,1.4311996572326342,10.209723084138854,5.893957685363079,67.66230052638541,19.490579052947837,57.967500034812076,0.0,11.49902366656781,10.046676307088426,0.0,11.49902366656781,11.600939890232516,54.35057732618607,22.955377456127362,5.893957685363079,88.30697711067423,36.25451224597977,6.434475392069527,0.0,0.0,61.8,178.5063289965801,25.396999048783098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,38.33038084381851,287.0736042005338,5.885143582361617,13.591558604735013,2.104890062234695,-15.4540050432967,-10.048583568038072,-14.13143396668334,-36.70124794225543,-14.792148151813791,0.0,0.5357142857142857,34,2,5,3,2,5,2,0,2,5,2,6,7,2,1,3,7,4.018800000000003,130.73750000000004,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
